id,评论时间,用户ID,昵称,评论内容,用户归属地,点赞数量
131,2023.12.07 01:54:36,6656436586,我就是小晴天,五月天眼唱会真厉害吃瓜吃瓜吃瓜,来自重庆,67
132,2023.12.06 22:30:52,7533926657,再吃一颗烤土豆,生日快乐巴黎线上见抱一抱,来自黑龙江,31
133,2023.12.06 22:47:14,2436609424,remyee,等官方答案出来是错就该没有错就告融化,来自广东,25
134,2023.12.07 01:47:58,1969105555,么了结,图片评论,来自北京,44
135,2023.12.06 23:13:17,5116903641,看帅哥大赛第一名,除非真唱否则没有其他感动你的方式建议那些理解能力不好的人就不要出来丢人现眼了回去重新修造一下好的坏的都被你们说了那我只能在这最后一小时祝陈信宏生日快乐,来自福建,11
136,2023.12.07 10:38:33,5723251675,丢你一只嘿咻,图片评论,来自北京,23
137,2023.12.07 00:00:25,5322694153,源世界待你以温柔,今天他生日能不能善良些,来自广东,5
138,2023.12.07 00:19:34,2402163435,Kristylq,图片评论,来自安徽,4
139,2023.12.07 07:34:45,1082362882,舞魅夜,图片评论,来自浙江,2
140,2023.12.07 00:02:34,1216207561,三金的爪酱,图片评论,来自湖南,4
141,2023.12.06 22:22:51,7718634289,拉布拉蝶儿,每一声都来自我的嗓子可是如果你先录制了演唱会再放也是来自你的嗓子啊等专业鉴定结果呗,来自江苏,8643
142,2023.12.06 22:21:06,7653126211,最是绚烂,嘴倒是比心还硬,来自重庆,6792
143,2023.12.06 22:20:41,6749593433,·-_-·,总结我真唱,来自江西,2040
144,2023.12.06 22:32:33,2928820293,杏们儿,巴黎场直播等大家来鉴定上海北京自有官方来鉴定此时让我们一起说主唱大人生日快乐阿信阿信,来自四川,519
145,2023.12.06 22:40:35,7763854571,小埋恋为日记,看不懂了我没有假唱这几个字这么难打吗,来自湖北,578
146,2023.12.06 22:54:22,5337545054,我这边好安静,好溫柔好真誠的人啊,来自重庆,418
147,2023.12.06 22:53:26,3311293025,-尔尔啦,主唱生日快乐打打巴黎线上见,来自四川,216
148,2023.12.07 04:19:01,5363060414,桐桐的大金毛,这个男人叫小帅他都很少唱到,来自新疆,207
149,2023.12.06 23:02:33,1771772634,Yota鲸,中肯,来自福建,159
150,2023.12.06 23:01:18,6324378375,金多虾多虾,生日快乐,来自四川,63
151,2023.12.07 01:54:36,6656436586,我就是小晴天,五月天眼唱会真厉害吃瓜吃瓜吃瓜,来自重庆,67
152,2023.12.06 22:30:52,7533926657,再吃一颗烤土豆,生日快乐巴黎线上见抱一抱,来自黑龙江,31
153,2023.12.06 22:47:14,2436609424,remyee,等官方答案出来是错就该没有错就告融化,来自广东,25
154,2023.12.07 01:47:58,1969105555,么了结,图片评论,来自北京,44
155,2023.12.06 23:13:17,5116903641,看帅哥大赛第一名,除非真唱否则没有其他感动你的方式建议那些理解能力不好的人就不要出来丢人现眼了回去重新修造一下好的坏的都被你们说了那我只能在这最后一小时祝陈信宏生日快乐,来自福建,11
156,2023.12.07 10:38:33,5723251675,丢你一只嘿咻,图片评论,来自北京,23
157,2023.12.07 00:00:25,5322694153,源世界待你以温柔,今天他生日能不能善良些,来自广东,5
158,2023.12.07 00:19:34,2402163435,Kristylq,图片评论,来自安徽,4
159,2023.12.07 07:34:45,1082362882,舞魅夜,图片评论,来自浙江,2
160,2023.12.07 00:02:34,1216207561,三金的爪酱,图片评论,来自湖南,4
161,2023.12.06 22:22:51,7718634289,拉布拉蝶儿,每一声都来自我的嗓子可是如果你先录制了演唱会再放也是来自你的嗓子啊等专业鉴定结果呗,来自江苏,8643
162,2023.12.06 22:21:06,7653126211,最是绚烂,嘴倒是比心还硬,来自重庆,6792
163,2023.12.06 22:20:41,6749593433,·-_-·,总结我真唱,来自江西,2040
164,2023.12.06 22:32:33,2928820293,杏们儿,巴黎场直播等大家来鉴定上海北京自有官方来鉴定此时让我们一起说主唱大人生日快乐阿信阿信,来自四川,519
165,2023.12.06 22:40:35,7763854571,小埋恋为日记,看不懂了我没有假唱这几个字这么难打吗,来自湖北,578
166,2023.12.06 22:54:22,5337545054,我这边好安静,好溫柔好真誠的人啊,来自重庆,418
167,2023.12.06 22:53:26,3311293025,-尔尔啦,主唱生日快乐打打巴黎线上见,来自四川,216
168,2023.12.07 04:19:01,5363060414,桐桐的大金毛,这个男人叫小帅他都很少唱到,来自新疆,207
169,2023.12.06 23:02:33,1771772634,Yota鲸,中肯,来自福建,159
170,2023.12.06 23:01:18,6324378375,金多虾多虾,生日快乐,来自四川,63
171,2023.12.07 01:54:36,6656436586,我就是小晴天,五月天眼唱会真厉害吃瓜吃瓜吃瓜,来自重庆,67
172,2023.12.06 22:30:52,7533926657,再吃一颗烤土豆,生日快乐巴黎线上见抱一抱,来自黑龙江,31
173,2023.12.06 22:47:14,2436609424,remyee,等官方答案出来是错就该没有错就告融化,来自广东,25
174,2023.12.07 01:47:58,1969105555,么了结,图片评论,来自北京,44
175,2023.12.06 23:13:17,5116903641,看帅哥大赛第一名,除非真唱否则没有其他感动你的方式建议那些理解能力不好的人就不要出来丢人现眼了回去重新修造一下好的坏的都被你们说了那我只能在这最后一小时祝陈信宏生日快乐,来自福建,11
176,2023.12.07 10:38:33,5723251675,丢你一只嘿咻,图片评论,来自北京,23
177,2023.12.07 00:00:25,5322694153,源世界待你以温柔,今天他生日能不能善良些,来自广东,5
178,2023.12.07 00:19:34,2402163435,Kristylq,图片评论,来自安徽,4
179,2023.12.07 07:34:45,1082362882,舞魅夜,图片评论,来自浙江,2
180,2023.12.07 00:02:34,1216207561,三金的爪酱,图片评论,来自湖南,4
181,2023.12.06 22:22:51,7718634289,拉布拉蝶儿,每一声都来自我的嗓子可是如果你先录制了演唱会再放也是来自你的嗓子啊等专业鉴定结果呗,来自江苏,8643
182,2023.12.06 22:21:06,7653126211,最是绚烂,嘴倒是比心还硬,来自重庆,6792
183,2023.12.06 22:20:41,6749593433,·-_-·,总结我真唱,来自江西,2040
184,2023.12.06 22:32:33,2928820293,杏们儿,巴黎场直播等大家来鉴定上海北京自有官方来鉴定此时让我们一起说主唱大人生日快乐阿信阿信,来自四川,519
185,2023.12.06 22:40:35,7763854571,小埋恋为日记,看不懂了我没有假唱这几个字这么难打吗,来自湖北,578
186,2023.12.06 22:54:22,5337545054,我这边好安静,好溫柔好真誠的人啊,来自重庆,418
187,2023.12.06 22:53:26,3311293025,-尔尔啦,主唱生日快乐打打巴黎线上见,来自四川,216
188,2023.12.07 04:19:01,5363060414,桐桐的大金毛,这个男人叫小帅他都很少唱到,来自新疆,207
189,2023.12.06 23:02:33,1771772634,Yota鲸,中肯,来自福建,159
190,2023.12.06 23:01:18,6324378375,金多虾多虾,生日快乐,来自四川,63
191,2023.12.07 01:54:36,6656436586,我就是小晴天,五月天眼唱会真厉害吃瓜吃瓜吃瓜,来自重庆,67
192,2023.12.06 22:30:52,7533926657,再吃一颗烤土豆,生日快乐巴黎线上见抱一抱,来自黑龙江,31
193,2023.12.06 22:47:14,2436609424,remyee,等官方答案出来是错就该没有错就告融化,来自广东,25
194,2023.12.07 01:47:58,1969105555,么了结,图片评论,来自北京,44
195,2023.12.06 23:13:17,5116903641,看帅哥大赛第一名,除非真唱否则没有其他感动你的方式建议那些理解能力不好的人就不要出来丢人现眼了回去重新修造一下好的坏的都被你们说了那我只能在这最后一小时祝陈信宏生日快乐,来自福建,11
196,2023.12.07 10:38:33,5723251675,丢你一只嘿咻,图片评论,来自北京,23
197,2023.12.07 00:00:25,5322694153,源世界待你以温柔,今天他生日能不能善良些,来自广东,5
198,2023.12.07 00:19:34,2402163435,Kristylq,图片评论,来自安徽,4
199,2023.12.07 07:34:45,1082362882,舞魅夜,图片评论,来自浙江,2
200,2023.12.07 00:02:34,1216207561,三金的爪酱,图片评论,来自湖南,4
